('直谅多闻', '直眉瞪眼')
('直眉瞪眼', '直眉楞眼')
('直眉楞眼', '直眉睖眼')
('直眉睖眼', '直眉怒目')
('直眉怒目', '直木必伐')
('直木必伐', '直木先伐')
('直木先伐', '直内方外')
('直内方外', '直扑无华')
('直扑无华', '直情径行')
('直情径行', '直权无华')
('直权无华', '直认不讳')
('直认不讳', '直入公堂')
('直入公堂', '直上青云')
('直上青云', '直上直下')
('直上直下', '直上直下')
('直上直下', '直抒己见')
('直抒己见', '直抒胸臆')
('直抒胸臆', '直言不讳')
('直言不讳', '直言极谏')
('直言极谏', '直言贾祸')
('直言贾祸', '直言切谏')
('直言切谏', '直言取祸')
('直言取祸', '直言无讳')
('直言无讳', '直言无隐')
('直言无隐', '直言勿讳')
('直言勿讳', '直言正谏')
('直言正谏', '直言正论')
('直言正论', '直言正色')
('直言正色', '直撞横冲')
('直撞横冲', '纵曲枉直')
('纵曲枉直', '嘴直心快')
('靦颜人世', '靦颜事仇')
('大煞风景', '大煞风趣')
('大煞风趣', '煞费苦心')
('煞费苦心', '煞费心机')
('煞费心机', '煞有介事')
('煞有介事', '凶神恶煞')
('凶神恶煞', '一笔抹煞')
('踉踉跄跄', '踉踉跄跄')
('把素持斋', '长斋礼佛')
('长斋礼佛', '长斋绣佛')
('长斋绣佛', '持斋把素')
('持斋把素', '高斋学士')
('高斋学士', '斋心涤虑')
('拔萃出群', '拔类超群')
('拔类超群', '拔群出萃')
('拔群出萃', '博览群书')
('博览群书', '超群拔类')
('超群拔类', '超群出众')
('超群出众', '超群绝伦')
('超群绝伦', '超群轶类')
('超群轶类', '超群越辈')
('超群越辈', '超然不群')
('超然不群', '成群打伙')
('成群打伙', '成群集党')
('成群集党', '成群结党')
('成群结党', '成群结队')
('成群结队', '成群结伙')
('成群结伙', '成群逐队')
('成群逐队', '成群作队')
('成群作队', '出群拔萃')
('出群拔萃', '出世离群')
('出世离群', '独鹤鸡群')
('独鹤鸡群', '遁世离群')
('遁世离群', '狗党狐群')
('狗党狐群', '孤傲不群')
('孤傲不群', '鹘入鸦群')
('鹘入鸦群', '海水群飞')
('海水群飞', '害群之马')
('害群之马', '豪迈不群')
('豪迈不群', '鹤处鸡群')
('鹤处鸡群', '鹤困鸡群')
('鹤困鸡群', '鹤立鸡群')
('鹤立鸡群', '鹤行鸡群')
('鹤行鸡群', '呼群结党')
('呼群结党', '狐群狗党')
('狐群狗党', '虎荡羊群')
('虎荡羊群', '虎入羊群')
('虎入羊群', '坏植散群')
('坏植散群', '纪群之交')
('纪群之交', '进种善群')
('进种善群', '惊群动众')
('惊群动众', '敬业乐群')
('敬业乐群', '迥然不群')
('迥然不群', '迥然不群')
('迥然不群', '绝伦逸群')
('绝伦逸群', '类聚群分')
('类聚群分', '离群索居')
('离群索居', '普度群生')
('普度群生', '普济群生')
('普济群生', '确然不群')
('确然不群', '群策群力')
('群策群力', '群策群力')
('群策群力', '群雌粥粥')
('群雌粥粥', '群而不党')
('群而不党', '群鸿戏海')
('群鸿戏海', '群居穴处')
('群居穴处', '群空冀北')
('群空冀北', '群龙无首')
('群龙无首', '群魔乱舞')
